C:\Users\kichn>netstat -n

Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:49683        127.0.0.1:49688        ESTABLISHED
  TCP    127.0.0.1:49683        127.0.0.1:49690        ESTABLISHED
  TCP    127.0.0.1:49683        127.0.0.1:49694        ESTABLISHED
  TCP    127.0.0.1:49683        127.0.0.1:49695        ESTABLISHED
  TCP    127.0.0.1:49683        127.0.0.1:49696        ESTABLISHED
  TCP    127.0.0.1:49688        127.0.0.1:49683        ESTABLISHED
  TCP    127.0.0.1:49690        127.0.0.1:49683        ESTABLISHED
  TCP    127.0.0.1:49694        127.0.0.1:49683        ESTABLISHED
  TCP    127.0.0.1:49695        127.0.0.1:49683        ESTABLISHED
  TCP    127.0.0.1:49696        127.0.0.1:49683        ESTABLISHED
  TCP    127.0.0.1:49697        127.0.0.1:49698        ESTABLISHED
  TCP    127.0.0.1:49698        127.0.0.1:49697        ESTABLISHED
  TCP    127.0.0.1:49699        127.0.0.1:49700        ESTABLISHED
  TCP    127.0.0.1:49700        127.0.0.1:49699        ESTABLISHED
  TCP    192.168.1.112:49714    51.103.5.186:443       ESTABLISHED
  TCP    192.168.1.112:49746    51.103.5.186:443       ESTABLISHED
  TCP    192.168.1.112:49916    52.113.205.20:443      ESTABLISHED
  TCP    192.168.1.112:49927    23.200.161.229:443     ESTABLISHED
  TCP    192.168.1.112:49928    23.200.161.229:443     ESTABLISHED
  TCP    192.168.1.112:49929    23.200.161.229:443     ESTABLISHED
  TCP    192.168.1.112:49931    23.200.161.168:80      ESTABLISHED
  TCP    192.168.1.112:49932    23.200.161.168:80      ESTABLISHED
  TCP    192.168.1.112:49934    23.200.161.168:80      ESTABLISHED
  TCP    192.168.1.112:49936    23.200.161.168:80      ESTABLISHED
  TCP    192.168.1.112:49937    23.200.161.168:80      ESTABLISHED
  TCP    192.168.1.112:49938    23.200.161.168:80      ESTABLISHED
  TCP    192.168.1.112:49953    23.200.161.229:443     ESTABLISHED
  TCP    192.168.1.112:49979    104.22.24.131:443      ESTABLISHED
  TCP    192.168.1.112:49996    52.97.176.34:443       ESTABLISHED
  TCP    192.168.1.112:50003    52.97.176.34:443       ESTABLISHED
  TCP    192.168.1.112:50030    173.194.222.188:5228   ESTABLISHED
  TCP    192.168.1.112:50032    52.113.205.79:443      ESTABLISHED
  TCP    192.168.1.112:50050    87.240.129.129:443     ESTABLISHED
  TCP    192.168.1.112:50058    52.113.205.6:443       ESTABLISHED
  TCP    192.168.1.112:50073    34.202.18.195:443      ESTABLISHED
  TCP    192.168.1.112:50077    54.239.192.126:443     ESTABLISHED
  TCP    192.168.1.112:50081    151.101.37.137:443     ESTABLISHED
  TCP    192.168.1.112:50086    20.44.232.74:443       TIME_WAIT
  TCP    192.168.1.112:50087    79.96.11.200:80        CLOSE_WAIT
  TCP    192.168.1.112:50088    216.58.215.67:443      TIME_WAIT
  TCP    192.168.1.112:50089    216.58.215.78:443      TIME_WAIT
  TCP    192.168.1.112:50090    54.230.228.166:443     ESTABLISHED
  TCP    192.168.1.112:50091    216.58.215.67:443      ESTABLISHED
  TCP    192.168.1.112:50092    172.217.20.170:443     ESTABLISHED
  TCP    192.168.1.112:50093    216.58.208.206:443     ESTABLISHED
  TCP    192.168.1.112:50095    34.237.179.253:443     ESTABLISHED
  TCP    192.168.1.112:50096    216.58.208.214:443     ESTABLISHED
  TCP    192.168.1.112:50097    40.122.160.14:443      ESTABLISHED
  TCP    192.168.1.112:50098    52.2.215.254:443       ESTABLISHED
  TCP    192.168.1.112:50099    54.239.192.20:443      ESTABLISHED
  TCP    192.168.1.112:50100    79.96.11.200:80        ESTABLISHED
  TCP    192.168.1.112:50101    20.44.232.74:443       ESTABLISHED
  TCP    192.168.1.112:50102    79.96.11.200:80        ESTABLISHED
  TCP    192.168.1.112:50103    79.96.11.200:80        ESTABLISHED
  TCP    192.168.1.112:50104    79.96.11.200:80        ESTABLISHED
  TCP    192.168.1.112:50105    79.96.11.200:80        ESTABLISHED
  TCP    192.168.1.112:50106    79.96.11.200:80        ESTABLISHED
  TCP    192.168.1.112:50107    79.96.11.200:80        ESTABLISHED
  TCP    192.168.1.112:50108    54.239.192.8:443       ESTABLISHED
  TCP    192.168.1.112:50109    54.239.192.8:443       ESTABLISHED
  TCP    192.168.1.112:50110    204.79.197.200:443     ESTABLISHED
  TCP    192.168.1.112:50111    204.79.197.200:443     ESTABLISHED
  TCP    192.168.1.112:50112    52.97.188.66:443       ESTABLISHED
  TCP    192.168.1.112:50113    13.107.6.158:443       ESTABLISHED
  TCP    192.168.1.112:50114    52.114.75.150:443      ESTABLISHED
  TCP    192.168.1.112:50117    13.107.246.254:443     ESTABLISHED
  TCP    192.168.1.112:50118    20.140.56.71:443       ESTABLISHED
  TCP    192.168.1.112:50119    204.79.197.222:443     ESTABLISHED
  TCP    192.168.1.112:50120    204.79.197.200:443     ESTABLISHED
  TCP    192.168.1.112:50121    204.79.197.200:443     ESTABLISHED
  TCP    192.168.1.112:50122    204.79.197.200:443     ESTABLISHED
  TCP    192.168.1.112:50123    204.79.197.200:443     ESTABLISHED
  TCP    192.168.1.112:50124    204.79.197.200:443     ESTABLISHED
  TCP    192.168.1.112:50125    204.79.197.200:443     ESTABLISHED
  TCP    192.168.1.112:50126    13.107.4.254:443       ESTABLISHED
  TCP    192.168.1.112:50127    204.79.197.254:443     ESTABLISHED
  TCP    192.168.1.112:50128    13.107.19.254:443      ESTABLISHED
  TCP    [::1]:49676            [::1]:49677            ESTABLISHED
  TCP    [::1]:49677            [::1]:49676            ESTABLISHED
  TCP    [::1]:49678            [::1]:49679            ESTABLISHED
  TCP    [::1]:49679            [::1]:49678            ESTABLISHED
  TCP    [::1]:49680            [::1]:49681            ESTABLISHED
  TCP    [::1]:49681            [::1]:49680            ESTABLISHED
